config_id,run_id,scenario,system_prompt,shots,generation_model,repair_model,status,iteration_index,iteration.iteration,iteration.validated,iteration.is_valid,iteration.dsl_path,iteration.compiler_output_path,run_metadata_path,iteration.compiler_error_score.error_lines,iteration.compiler_error_score.feedback_chars,iteration.compiler_error_score.lines,iteration.compiler_error_score.score,iteration.compiler_error_score.warning_lines,iteration.compiler_feedback_chars,iteration.repair_prompt_included_previous_dsl,iteration.repair_prompt_mode,iteration.success_artifact_path,iteration.validation.dsl_missing,iteration.validation.jar_missing,iteration.validation.java_missing,iteration.validation.returncode,iteration.validation.timed_out
Flash25Prompt4Stateless_Shot0,20260404_222815,Scenario_011.txt,Generative/NewSp4.txt,0,gemini-2.5-flash,gemini-2.5-flash,success,0,0,True,False,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/dsl/ITER0_20260404_222832.LIRAs,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/compiler/ITER0_20260404_222832.LIRAs.compiler.txt,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/run_metadata.json,4,874,10,52,4,874,True,dsl_plus_compiler,,False,False,False,1,False
Flash25Prompt4Stateless_Shot0,20260404_222815,Scenario_011.txt,Generative/NewSp4.txt,0,gemini-2.5-flash,gemini-2.5-flash,success,1,1,True,False,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/dsl/ITER1_20260404_222845.LIRAs,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/compiler/ITER1_20260404_222845.LIRAs.compiler.txt,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/run_metadata.json,3,795,9,41,4,795,True,dsl_plus_compiler,,False,False,False,1,False
Flash25Prompt4Stateless_Shot0,20260404_222815,Scenario_011.txt,Generative/NewSp4.txt,0,gemini-2.5-flash,gemini-2.5-flash,success,2,2,True,False,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/dsl/ITER2_20260404_222917.LIRAs,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/compiler/ITER2_20260404_222917.LIRAs.compiler.txt,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/run_metadata.json,3,725,9,41,4,725,True,dsl_plus_compiler,,False,False,False,1,False
Flash25Prompt4Stateless_Shot0,20260404_222815,Scenario_011.txt,Generative/NewSp4.txt,0,gemini-2.5-flash,gemini-2.5-flash,success,3,3,True,False,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/dsl/ITER3_20260404_223000.LIRAs,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/compiler/ITER3_20260404_223000.LIRAs.compiler.txt,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/run_metadata.json,3,725,9,41,4,725,True,dsl_plus_compiler,,False,False,False,1,False
Flash25Prompt4Stateless_Shot0,20260404_222815,Scenario_011.txt,Generative/NewSp4.txt,0,gemini-2.5-flash,gemini-2.5-flash,success,4,4,True,True,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/dsl/ITER4_20260404_223010.LIRAs,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/compiler/ITER4_20260404_223010.LIRAs.compiler.txt,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/run_metadata.json,0,628,7,11,4,,,,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_011/Generative/NewSp4/RUN_20260404_222815/dsl/SUCCESS_20260404_223011.LIRAs,False,False,False,0,False
Flash25Prompt4Stateless_Shot0,20260404_223012,Scenario_016.txt,Generative/NewSp4.txt,0,gemini-2.5-flash,gemini-2.5-flash,success,0,0,True,True,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_016/Generative/NewSp4/RUN_20260404_223012/dsl/ITER0_20260404_223043.LIRAs,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_016/Generative/NewSp4/RUN_20260404_223012/compiler/ITER0_20260404_223043.LIRAs.compiler.txt,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_016/Generative/NewSp4/RUN_20260404_223012/run_metadata.json,0,628,7,11,4,,,,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_016/Generative/NewSp4/RUN_20260404_223012/dsl/SUCCESS_20260404_223043.LIRAs,False,False,False,0,False
Flash25Prompt4Stateless_Shot0,20260404_223044,Scenario_029.txt,Generative/NewSp4.txt,0,gemini-2.5-flash,gemini-2.5-flash,success,0,0,True,False,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_029/Generative/NewSp4/RUN_20260404_223044/dsl/ITER0_20260404_223136.LIRAs,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_029/Generative/NewSp4/RUN_20260404_223044/compiler/ITER0_20260404_223136.LIRAs.compiler.txt,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_029/Generative/NewSp4/RUN_20260404_223044/run_metadata.json,2,678,8,31,4,678,True,dsl_plus_compiler,,False,False,False,1,False
Flash25Prompt4Stateless_Shot0,20260404_223044,Scenario_029.txt,Generative/NewSp4.txt,0,gemini-2.5-flash,gemini-2.5-flash,success,1,1,True,False,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_029/Generative/NewSp4/RUN_20260404_223044/dsl/ITER1_20260404_223141.LIRAs,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_029/Generative/NewSp4/RUN_20260404_223044/compiler/ITER1_20260404_223141.LIRAs.compiler.txt,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_029/Generative/NewSp4/RUN_20260404_223044/run_metadata.json,56,4391,62,578,4,4391,True,dsl_plus_compiler,,False,False,False,1,False
Flash25Prompt4Stateless_Shot0,20260404_223044,Scenario_029.txt,Generative/NewSp4.txt,0,gemini-2.5-flash,gemini-2.5-flash,success,2,2,True,False,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_029/Generative/NewSp4/RUN_20260404_223044/dsl/ITER2_20260404_223151.LIRAs,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_029/Generative/NewSp4/RUN_20260404_223044/compiler/ITER2_20260404_223151.LIRAs.compiler.txt,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_029/Generative/NewSp4/RUN_20260404_223044/run_metadata.json,56,4391,62,578,4,4391,True,dsl_plus_compiler,,False,False,False,1,False
Flash25Prompt4Stateless_Shot0,20260404_223044,Scenario_029.txt,Generative/NewSp4.txt,0,gemini-2.5-flash,gemini-2.5-flash,success,3,3,True,False,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_029/Generative/NewSp4/RUN_20260404_223044/dsl/ITER3_20260404_223213.LIRAs,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_029/Generative/NewSp4/RUN_20260404_223044/compiler/ITER3_20260404_223213.LIRAs.compiler.txt,/Users/marco/Documents/T2I/Tesi/liras-llm-guided-repair/Runs/Flash25Prompt4Stateless_Shot0/Scenario_029/Generative/NewSp4/RUN_20260404_223044/run_metadata.json,7,1015,13,83,4,1015,True,dsl_plus_compiler,,False,False,False,1,False
